ID,class,CISP,area_cisp,regiao,hom_doloso,lesao_corp_morte,latrocinio,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,encontro_cadaver,encontro_ossada,roubo_comercio,roubo_residencia,roubo_veiculo,roubo_carga,roubo_transeunte,roubo_em_coletivo,roubo_banco,roubo_cx_eletronico,roubo_celular,roubo_conducao_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas,cump_mandado_prisao,ameaca,pessoas_desaparecidas,hom_por_interv_policial,armas_apreendidas,pol_militares_mortos_serv,pol_civis_mortos_serv,indicador_letalidade
1,Ano Comum,1,35,1,0,0,0,1,40,0,1,15,0,0,14,0,5,1,26,8,0,0,32,0,0,14,12,0,157,0,1,0,69,1,8,21,2,0,4,0,0,0
2,Ano Comum,4,38,1,3,0,0,0,47,1,4,35,0,1,5,0,9,1,25,12,0,1,14,1,0,14,9,0,106,0,1,0,1,35,1,15,6,0,5,0,0,3
3,Ano Comum,5,3,1,3,0,0,1,73,2,1,19,1,0,10,1,11,5,26,4,2,0,34,2,0,28,28,0,188,0,0,0,37,4,5,47,2,0,9,0,0,3
4,Ano Comum,6,6,1,6,0,0,2,43,2,1,20,1,0,10,0,27,6,14,22,0,0,20,0,0,44,17,0,73,0,0,0,8,20,3,26,2,0,7,0,0,6
5,Ano Comum,7,52,1,4,0,0,2,18,2,0,2,3,0,0,2,23,1,4,0,0,0,1,0,0,24,12,0,23,0,0,0,4,3,1,10,1,0,1,0,0,4
6,Ano Comum,9,69,1,1,1,0,3,44,0,0,15,0,0,4,3,30,0,18,10,0,0,16,0,0,43,87,0,181,0,0,0,20,11,1,36,3,0,3,0,0,2
7,Ano Comum,10,82,1,1,0,0,4,48,1,0,26,3,0,4,4,20,0,26,10,1,0,17,1,0,29,78,0,212,0,0,0,19,7,3,40,2,0,1,0,0,1
8,Ano Comum,12,32,1,2,0,0,4,45,1,0,14,0,0,6,2,3,1,20,5,0,0,22,1,0,71,15,0,241,0,1,0,18,11,6,48,3,1,3,0,0,3
9,Ano Comum,13,19,1,0,0,0,0,16,0,0,15,0,0,6,2,6,0,20,4,0,0,10,0,0,31,19,0,198,0,1,0,15,14,2,26,1,0,5,0,0,0
10,Ano Comum,14,52,1,0,0,0,0,30,1,1,30,2,0,12,3,19,0,25,6,0,0,11,0,0,42,30,0,281,0,1,0,16,10,2,43,2,0,3,0,0,0
11,Ano Comum,15,199,1,0,0,0,0,21,0,0,24,0,0,3,3,9,0,12,2,0,0,6,0,0,20,8,0,97,0,0,0,7,4,1,25,5,0,1,0,0,0
12,Ano Comum,16,1754,1,3,0,1,8,107,7,6,102,1,0,12,11,48,1,24,7,0,0,17,2,0,42,40,0,250,0,0,0,58,13,8,141,3,0,8,0,0,4
13,Ano Comum,17,111,1,5,0,0,3,51,2,0,42,4,0,7,0,33,8,22,15,0,0,27,0,0,33,19,0,87,0,1,0,8,21,0,38,2,1,7,0,0,6
14,Ano Comum,18,35,1,3,0,0,0,23,1,0,25,1,0,5,0,42,1,36,8,0,0,27,0,0,39,32,0,85,0,0,0,8,2,3,28,1,0,7,0,0,3
15,Ano Comum,19,404,1,0,0,0,7,34,0,0,24,2,0,10,0,64,6,24,4,0,0,23,0,0,77,36,0,138,0,0,0,26,11,2,52,1,1,9,0,0,1
16,Ano Comum,20,112,1,2,0,0,10,42,1,0,19,2,0,7,0,47,5,18,3,1,0,21,0,0,33,56,0,88,0,0,0,16,11,2,29,0,2,6,0,0,4
17,Ano Comum,21,148,1,23,0,0,16,75,2,4,51,5,0,15,3,166,23,52,40,0,0,31,0,0,128,51,0,105,0,0,0,18,23,2,53,8,8,27,1,1,31
18,Ano Comum,22,162,1,2,0,0,0,41,1,3,45,3,0,21,1,131,10,27,14,0,0,17,0,0,88,64,0,103,0,0,0,5,7,0,43,4,0,14,0,0,2
19,Ano Comum,23,47,1,1,0,0,2,61,0,0,32,0,0,13,1,124,13,32,4,0,0,41,0,0,127,49,0,111,1,0,0,37,5,0,56,0,0,3,0,0,1
20,Ano Comum,24,74,1,3,0,0,2,54,1,1,38,1,0,6,1,78,10,24,3,0,0,19,0,0,67,18,0,48,0,0,0,10,7,2,55,6,1,21,0,0,4
21,Ano Comum,25,82,1,3,0,0,4,39,3,2,19,1,0,3,1,118,10,22,6,0,0,16,0,0,103,12,0,72,0,1,0,8,33,4,25,2,2,43,0,0,5
22,Ano Comum,26,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ano Comum,27,141,1,7,0,0,2,60,2,3,34,1,0,13,1,148,2,22,7,0,0,23,2,0,123,51,0,97,0,0,0,5,3,1,58,0,2,10,0,0,9
24,Ano Comum,28,189,1,2,0,1,6,41,1,0,31,1,0,9,0,54,3,19,12,0,0,18,0,0,42,18,0,65,0,1,0,6,3,6,49,5,3,7,0,0,6
25,Ano Comum,29,88,1,10,0,0,1,49,2,0,19,1,0,11,1,45,2,39,21,0,0,29,0,0,41,19,0,89,0,0,0,18,5,3,53,7,1,4,0,0,11
26,Ano Comum,30,9,1,3,0,1,5,92,2,0,20,4,0,8,1,96,4,36,9,0,0,22,0,0,71,30,0,65,0,0,0,9,4,4,90,2,5,6,0,0,9
27,Ano Comum,31,142,1,1,0,0,0,4,0,0,2,0,0,0,0,3,2,0,0,0,0,1,0,0,6,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1
28,Ano Comum,32,983,1,6,1,0,12,200,7,3,65,3,0,10,9,52,10,14,19,0,0,20,0,0,38,18,0,96,0,2,0,8,9,6,181,9,0,21,0,0,7
29,Ano Comum,33,546,1,8,0,2,0,98,0,2,46,6,0,6,0,62,10,35,4,0,0,17,0,0,48,24,0,61,0,0,0,14,11,1,86,5,0,40,0,0,10
30,Ano Comum,34,678,1,14,0,0,14,119,11,3,43,5,0,14,4,93,14,41,13,0,0,23,0,0,80,50,0,116,0,0,0,11,38,8,71,12,15,70,1,1,29
